City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,tyumentsevo,53.3224,81.498,21.03,63,41,4.17,RU,1720617463
242,i-n-salah,27.1935,2.4607,45.97,6,0,8.78,DZ,1720617463
243,xining,36.6167,101.7667,16.81,75,0,1.76,CN,1720617463
244,aasiaat,68.7098,-52.8699,3.12,93,100,2.64,GL,1720617463
245,healesville,-37.65,145.5167,9.79,91,90,0.45,AU,1720617463
246,puerto ayora,-0.7393,-90.3518,20.31,100,4,3.05,EC,1720617464
247,jining,35.405,116.5814,26.05,70,100,2.94,CN,1720617464
248,san antonio de pale,-1.4014,5.6325,22.35,82,84,3.9,GQ,1720617464
249,nova vicosa,-17.8919,-39.3719,27.0,61,27,3.35,BR,1720617464
250,mount isa,-20.7333,139.5,15.87,41,6,4.63,AU,1720617464
251,sogndal,61.2283,7.1003,13.21,93,100,1.54,NO,1720617464
252,jamestown,42.097,-79.2353,26.8,83,75,5.14,US,1720617395
253,adam,22.3756,57.5233,37.92,33,99,8.29,OM,1720617465
254,darab,28.7519,54.5444,40.82,14,97,2.4,IR,1720617465
255,irmo,34.086,-81.1832,29.29,66,40,4.12,US,1720617465
256,ar ruways,24.1103,52.7306,38.31,42,69,5.59,AE,1720617465
257,kapuskasing,49.4169,-82.4331,13.05,88,100,3.6,CA,1720617466
258,hell-ville,-13.4,48.2667,28.93,68,20,3.09,MG,1720617466
259,kalmunai,7.4167,81.8167,29.12,75,100,5.65,LK,1720617466
260,bossangoa,6.4926,17.4552,31.43,49,100,1.21,CF,1720617466
261,qurayyat,31.3318,37.3428,41.1,8,0,2.57,SA,1720617466
262,palmer,42.1584,-72.3287,26.4,77,100,3.09,US,1720617325
263,pionerskiy,54.9508,20.2275,30.91,53,6,6.97,RU,1720617466
264,angaur state,6.906,134.13,26.04,84,100,0.6,PW,1720617467
265,northam,51.0333,-4.2167,17.59,85,96,7.56,GB,1720617467
266,port saint john's,-31.6229,29.5448,23.88,42,90,3.7,ZA,1720617467
267,agat village,13.3886,144.6585,28.06,87,0,2.06,GU,1720617467
268,svetlyy,54.675,20.1347,31.03,46,6,5.77,RU,1720617467
269,arraial do cabo,-22.9661,-42.0278,22.92,83,75,1.03,BR,1720617388
270,uray,60.1247,64.7758,30.98,37,16,3.88,RU,1720617468
271,carutapera,-1.195,-46.02,29.2,67,7,4.97,BR,1720617468
272,mata-utu,-13.2816,-176.1745,26.38,84,100,11.37,WF,1720617372
273,saint-philippe,-21.3585,55.7679,21.77,72,19,4.77,RE,1720617468
274,kingston,17.997,-76.7936,29.53,79,20,2.57,JM,1720616795
275,kurtamysh,54.9103,64.4319,26.87,50,67,1.39,RU,1720617469
276,alotau,-10.3069,150.4462,22.78,96,98,2.21,PG,1720617469
277,tarrafal de sao nicolau,16.5667,-24.3667,22.78,81,89,6.34,CV,1720617469
278,madera,37.1666,-119.8343,28.37,36,0,0.75,US,1720617469
279,anaconda,46.1285,-112.9423,11.55,48,0,2.78,US,1720617469
280,elko,41.0002,-115.5012,18.13,26,0,0.89,US,1720617469
281,acarau,-2.8856,-40.12,28.98,61,60,7.3,BR,1720617470
282,eenhana,-17.4667,16.3333,28.99,6,0,2.67,,1720617470
283,sant'antioco,39.0664,8.4522,26.61,69,3,3.93,IT,1720617470
284,ed damer,17.5928,33.9592,40.44,22,87,5.63,SD,1720617470
285,vila franca do campo,37.7167,-25.4333,23.23,63,13,4.24,PT,1720617470
286,crane,31.3974,-102.3501,23.93,70,0,2.84,US,1720617470
287,umiray,15.2206,121.4111,25.03,80,100,0.51,PH,1720617471
288,valparaiso,-33.0393,-71.6273,8.13,70,40,1.54,CL,1720617450
289,daru,-9.0763,143.2092,24.38,83,48,6.16,PG,1720617471
290,igarka,67.4667,86.5833,23.57,47,100,1.22,RU,1720617471
291,mlangali,-9.7833,34.5167,20.13,30,55,3.53,TZ,1720617471
292,hermanus,-34.4187,19.2345,18.78,73,13,11.87,ZA,1720617471
293,sibolga,1.7427,98.7792,24.89,86,78,1.3,ID,1720617471
294,tadine,-21.55,167.8833,21.9,81,18,8.21,NC,1720617471
295,eagle point,42.4726,-122.8028,19.44,65,0,0.89,US,1720617472
296,san marcos,33.1434,-117.1661,21.38,92,100,1.54,US,1720617396
297,mahina,-17.5065,-149.489,22.87,83,0,1.03,PF,1720617472
298,belyy yar,53.6039,91.3903,20.94,73,0,4.0,RU,1720617472
299,joal-fadiout,14.1667,-16.8333,26.95,73,100,5.22,SN,1720617472
300,mizhou,35.9947,119.3975,22.59,61,8,1.07,CN,1720617472
301,sitka,57.0531,-135.33,12.94,88,100,7.72,US,1720617473
302,utrik,11.2278,169.8474,28.32,74,100,7.07,MH,1720617473
